,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
900,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,94,5040,120,39,5460,20,0,97,25,1
901,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,86,5040,30,36,5040,10,0,97,32,1
902,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,111,5040,60,43,6720,30,0,97,20,3
903,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,86,4200,30,39,6720,20,0,60,20,1
904,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,111,3780,60,39,5040,20,0,75,32,3
905,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,94,3780,120,36,6720,10,0,75,20,3
906,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,86,5040,120,43,6720,10,0,60,25,3
907,2,0,1,101,1,1,6,3,1,4,1,4,1,2,1,1,1,1,86,3780,30,43,5460,30,0,75,25,1
5430,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,174,88,60,69,108,10,0,234,143,2
5431,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,174,98,120,69,111,30,0,144,143,3
5432,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,159,98,60,69,111,20,0,234,110,2
5433,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,159,118,60,61,132,10,0,180,88,3
5434,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,159,98,120,55,116,20,0,180,143,2
5435,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,174,118,30,69,161,20,0,180,143,3
5428,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,159,88,120,61,103,30,0,234,88,2
5427,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,205,118,120,55,128,30,0,180,110,2
5429,3,1,1,604,1,0,3,1,0,3,1,2,0,17,2,1,1,1,205,88,120,69,108,20,0,144,88,3
8478,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,114,50,120,59,54,20,0,130,50,2
8480,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,135,50,60,63,62,30,0,130,40,3
8481,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,104,42,30,59,53,20,0,80,40,1
8482,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,135,38,60,59,43,20,0,100,65,2
8486,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,135,42,60,56,48,10,0,80,50,2
8485,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,104,38,30,63,45,30,0,100,50,1
8484,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,104,50,120,63,62,10,0,80,50,2
8483,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,114,38,120,56,50,10,0,100,40,3
8479,3,1,1,943,1,0,1,1,0,2,0,2,0,9,2,1,1,1,104,50,30,56,52,10,0,130,65,2
1251,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,57,3120,120,33,3380,20,0,78,25,2
1252,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,64,3120,60,35,4160,30,0,78,20,2
1254,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,54,2600,30,33,4160,20,0,48,20,1
1255,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,64,2340,60,33,3120,20,0,60,32,2
1253,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,54,3120,30,31,3120,10,0,78,32,2
1257,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,57,2340,120,31,4160,10,0,60,20,3
1258,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,64,2600,60,31,3380,10,0,48,25,2
1259,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,54,2340,30,35,3380,30,0,60,25,1
1256,2,0,1,140,1,0,6,1,1,2,0,3,1,25,22,1,1,1,54,3120,120,35,4160,10,0,48,25,3
6946,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,186,94,30,111,112,30,0,190,140,2
6945,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,186,126,120,111,161,10,0,152,140,2
6944,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,207,94,120,97,127,10,0,190,112,2
6943,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,248,94,60,103,105,20,0,190,182,2
6941,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,248,126,60,111,161,30,0,247,112,2
6940,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,186,126,30,97,133,10,0,247,182,2
6939,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,207,126,120,103,137,20,0,247,140,2
6942,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,186,105,30,103,137,20,0,152,112,2
6947,3,1,1,772,1,1,1,2,1,3,1,3,0,22,1,1,1,1,248,105,60,97,118,10,0,152,140,2
519,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,80,215,60,29,215,20,0,48,24,2
518,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,80,161,30,31,215,10,1,48,30,1
517,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,80,179,30,29,233,30,1,78,24,1
516,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,74,161,60,29,286,30,1,48,39,1
515,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,92,161,30,29,286,20,0,78,30,1
513,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,92,179,30,34,215,10,0,60,24,2
514,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,92,179,120,31,286,10,1,78,39,1
521,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,80,179,60,31,286,30,0,60,30,1
520,2,0,1,58,1,0,8,2,1,1,1,4,0,17,20,1,1,1,92,215,30,31,233,30,0,48,39,2
2883,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,197,2340,60,103,4160,30,1,144,65,3
2888,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,217,2600,60,109,4160,30,0,180,50,1
2882,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,257,2340,30,103,4160,20,0,234,50,3
2884,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,217,2600,30,103,3380,30,1,234,40,2
2887,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,257,3120,30,109,3380,30,0,144,65,3
2886,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,217,3120,60,103,3120,20,0,144,40,3
2885,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,217,2340,30,109,3120,10,1,144,50,1
2881,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,257,2600,120,109,4160,10,1,234,65,3
2880,2,0,1,321,1,0,6,1,3,2,1,3,1,1,23,1,1,1,257,2600,30,117,3120,10,0,180,40,2
2285,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,125,40,60,49,53,30,0,0,0,2
2283,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,125,48,60,44,50,20,0,0,0,2
2282,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,125,36,30,49,42,10,1,0,0,1
2281,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,125,40,30,44,46,30,1,0,0,1
2280,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,114,36,60,44,50,30,1,0,0,2
2279,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,146,36,30,44,50,20,0,0,0,1
2278,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,146,40,120,49,53,10,1,0,0,2
2277,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,146,40,30,55,45,10,0,0,0,2
2284,2,0,1,254,1,0,1,1,1,3,0,2,0,25,2,1,0,1,146,48,30,49,53,30,0,0,0,1
9923,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,200,97,30,145,108,10,0,136,115,3
9919,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,240,108,120,145,132,10,0,221,149,3
9918,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,240,108,30,149,116,10,0,170,92,3
9925,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,240,130,30,145,139,30,0,136,149,3
9924,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,200,130,60,142,132,20,0,136,92,3
9926,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,200,108,60,145,132,30,0,170,115,3
9921,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,180,97,60,142,123,30,0,136,149,3
9920,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,240,97,30,142,123,20,0,221,115,3
9922,3,1,1,1103,1,0,3,1,1,3,1,2,0,18,2,1,1,1,200,108,30,142,123,30,0,221,92,3
721,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,72,36,120,41,43,20,1,32,12,2
723,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,63,36,60,41,43,10,0,52,19,2
720,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,72,48,120,37,53,30,1,40,15,2
728,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,59,40,120,37,50,20,0,40,19,1
724,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,63,40,120,41,45,30,0,32,19,2
725,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,59,40,60,41,45,20,1,52,15,2
722,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,59,36,120,39,41,30,0,52,12,2
726,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,59,48,60,39,58,10,1,40,12,1
727,2,0,1,81,1,1,4,2,0,2,1,4,0,22,25,1,1,1,63,48,30,41,67,20,1,40,19,1
6442,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,171,84,120,81,105,20,0,150,117,2
6441,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,171,101,60,87,118,10,0,150,72,2
6440,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,171,84,60,95,97,20,0,195,90,2
6435,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,222,101,120,81,109,30,0,150,90,2
6438,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,188,76,60,95,94,10,0,195,117,2
6437,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,222,76,120,95,94,20,0,120,72,2
6436,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,171,76,120,87,90,30,0,195,72,2
6439,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,188,84,120,95,97,30,0,120,117,2
6443,3,1,1,716,1,1,1,2,0,3,1,3,0,17,2,1,1,1,188,101,30,95,137,20,0,150,117,2
2118,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,127,26,60,78,32,10,0,0,0,2
2119,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,127,29,120,78,34,30,0,0,0,2
2121,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,115,35,60,74,42,10,1,0,0,2
2122,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,115,29,120,71,35,20,0,0,0,2
2123,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,127,35,30,78,46,20,1,0,0,2
2120,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,115,29,60,78,34,20,1,0,0,2
2115,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,151,35,120,71,40,30,1,0,0,2
2117,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,151,26,120,78,32,20,1,0,0,2
2116,2,0,1,236,1,0,1,1,1,3,0,1,0,20,1,1,0,1,115,26,120,74,31,30,0,0,0,2
5690,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,292,154,60,92,210,30,0,260,112,2
5692,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,292,115,60,80,132,20,0,200,182,2
5691,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,224,128,30,80,182,20,0,160,112,3
5688,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,247,154,120,80,177,20,0,260,140,2
5689,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,224,154,30,71,165,10,0,260,182,2
5695,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,224,115,30,92,144,30,0,200,140,2
5694,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,224,154,120,92,210,10,0,160,140,3
5693,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,247,115,120,71,165,10,0,200,112,2
5696,3,1,1,633,1,0,3,2,1,2,1,2,0,22,17,1,1,1,292,128,60,71,156,10,0,160,140,3
10148,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,279,94,30,171,109,10,0,152,120,3
10151,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,279,105,60,171,137,30,0,190,120,2
10147,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,279,105,30,165,122,30,0,247,96,3
10146,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,255,94,60,165,127,30,0,152,156,3
10145,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,328,94,30,165,127,20,0,247,120,2
10144,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,328,105,120,171,137,10,0,247,156,2
10143,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,328,105,30,179,112,10,0,190,96,3
10149,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,279,126,60,165,133,20,0,152,96,3
10150,3,1,1,1128,1,1,1,1,1,2,0,1,0,1,22,1,1,1,328,126,30,171,137,30,0,152,156,3
6672,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,147,68,60,126,99,30,0,112,110,1
6671,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,196,68,30,126,99,20,0,182,85,2
6670,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,196,76,120,129,109,10,0,182,110,2
6673,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,163,76,30,126,97,30,0,182,68,2
6676,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,196,91,30,129,109,30,0,112,110,3
6677,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,163,76,60,129,109,30,0,140,85,2
6674,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,163,68,30,129,88,10,0,112,85,3
6669,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,196,76,30,133,92,10,0,140,68,2
6675,3,1,1,742,1,1,1,2,0,3,1,2,0,2,20,1,1,1,163,91,60,126,109,20,0,112,68,3
383,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,85,2340,120,27,4160,10,0,0,0,2
384,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,78,3120,120,34,4160,10,0,0,0,2
385,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,78,2340,30,34,3380,30,0,0,0,2
386,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,99,2600,60,27,3380,10,0,0,0,2
381,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,78,2600,30,30,4160,20,0,0,0,2
380,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,99,3120,60,34,4160,30,0,0,0,2
382,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,99,2340,60,30,3120,20,0,0,0,2
379,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,78,3120,30,27,3120,10,0,0,0,2
378,2,0,1,43,1,0,6,2,1,3,0,3,1,1,2,1,0,1,85,3120,120,30,3380,20,0,0,0,2
973,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,134,54,30,101,54,10,0,0,0,2
972,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,147,54,120,104,57,20,0,0,0,2
974,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,173,54,60,108,64,30,0,0,0,2
975,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,134,45,30,104,56,20,0,0,0,2
976,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,173,40,60,104,45,20,0,0,0,2
978,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,134,54,120,108,64,10,0,0,0,2
979,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,134,40,30,108,48,30,0,0,0,1
980,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,173,45,60,101,50,10,0,0,0,2
977,2,0,1,109,1,0,1,1,1,2,0,2,0,1,10,1,0,1,147,40,120,101,53,10,0,0,0,2
7528,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,164,176,120,64,194,30,0,136,123,3
7527,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,164,158,60,64,194,10,0,221,123,2
7529,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,150,176,60,64,194,20,0,221,95,2
7530,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,150,211,60,56,237,10,0,170,76,3
7526,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,193,158,120,64,194,20,0,136,76,3
7531,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,150,176,120,50,210,20,0,170,123,2
7524,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,193,211,120,50,225,30,0,170,95,2
7532,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,164,211,30,64,281,20,0,170,123,3
7525,3,1,1,837,1,1,3,1,0,2,1,2,0,22,1,1,1,1,150,158,120,56,181,30,0,221,76,2
1948,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,34,35,30,8,45,30,1,52,64,2
1945,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,41,31,30,8,56,20,0,52,80,2
1946,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,41,35,120,10,56,10,1,52,104,2
1952,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,41,42,30,10,45,30,0,32,104,2
1947,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,31,31,60,8,56,30,1,32,104,1
1951,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,34,35,60,10,56,30,0,40,80,1
1950,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,34,42,60,8,42,20,0,32,64,2
1949,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,34,31,30,10,42,10,1,32,80,2
1944,2,0,1,217,1,1,10,1,1,3,1,3,0,22,25,1,1,1,41,35,30,12,42,10,0,40,64,1
5454,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,247,154,120,80,177,20,0,286,130,2
5455,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,224,154,30,71,165,10,0,286,169,2
5462,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,292,128,60,71,156,10,0,176,130,3
5460,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,224,154,120,92,210,10,0,176,130,2
5459,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,247,115,120,71,165,10,0,220,104,2
5461,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,224,115,30,92,144,30,0,220,130,2
5458,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,292,115,60,80,132,20,0,220,169,2
5457,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,224,128,30,80,182,20,0,176,104,3
5456,3,1,1,607,1,0,3,1,0,4,1,2,0,17,22,1,1,1,292,154,60,92,210,30,0,286,104,3
1747,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,66,100,60,37,133,30,0,156,88,3
1749,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,56,83,30,35,133,20,0,96,88,3
1750,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,66,75,60,35,100,20,0,120,143,2
1751,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,59,75,120,33,133,10,0,120,88,1
1752,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,56,100,120,37,133,10,0,96,110,3
1746,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,59,100,120,35,108,20,0,156,110,2
1748,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,56,100,30,33,100,10,0,156,143,2
1753,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,66,83,60,33,108,10,0,96,110,3
1754,2,0,1,195,1,1,5,2,1,2,1,3,0,19,25,1,1,1,56,75,30,37,108,30,0,120,110,1
7825,3,1,1,870,1,1,3,2,0,3,1,3,0,22,12,1,1,1,202,169,30,144,184,30,0,208,88,2
7822,3,1,1,870,1,1,3,2,0,3,1,3,0,22,12,1,1,1,237,169,120,147,198,10,0,208,143,2
7823,3,1,1,870,1,1,3,2,0,3,1,3,0,22,12,1,1,1,237,152,30,144,184,20,0,208,110,2
7829,3,1,1,870,1,1,3,2,0,3,1,3,0,22,12,1,1,1,202,169,60,147,198,30,0,160,110,2
7828,3,1,1,870,1,1,3,2,0,3,1,3,0,22,12,1,1,1,237,203,30,147,218,30,0,128,143,3
